BLOQUES,AREAS,ZONA,PRODUCTO,DESCRIPCIÓN,PROVEEDOR,REF./MODELO,UNDS.
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Asas calibradas en poliestireno flexible estériles 10 UL.,Asas calibradas en poliestireno flexible estériles 10 UL. (C/ 4x500 U.),5º envío SUMALSA,302704,1 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Tubos de cultivo estériles en poliestireno 12x75 mm.,"Tubos de cultivo estériles, 5 ml., en poliestireno 12x75 mm. (C/ 8x125 U.)",5º envío SUMALSA,62.476.028,1 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Pipetas de serología estériles 1 ml. poliestireno,Pipetas de serología estériles 1 ml. poliestireno envase unitario (C/ 4x500 U.),5º envío SUMALSA,900030,1 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Pipetas de serología estériles 5 ml. poliestireno,Pipetas de serología estériles 5 ml. poliestireno envase unitario (C/ 4x250 U.),5º envío SUMALSA,900034,1 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Pipetas de serología estériles 10 ml. poliestireno,Pipetas de serología estériles 10 ml. poliestireno envase unitario (C/ 4x200 U.),5º envío SUMALSA,900036,1 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Pipetas de serología estériles 25 ml. poliestireno,Pipetas de serología estériles 25 ml. poliestireno envase unitario (C/ 4x100 U.),5º envío SUMALSA,900041,1 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Bolsas para autoclave 30x60 mm.,Bolsas para autoclave 30x60 mm. (C/ 100 U.),5º envío SUMALSA,200310,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Ducha-lavaojos,Ducha-lavaojos con doble mando,SUMALSA,D4220,1 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Ducha de seguridad,"Ducha de emergencia horizontal, de pared, con rociador en plástico ABS amarillo",SUMALSA,D1110,1 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Panoptico rápido nº 1,Panoptico rápido nº 1 (1.000 ml.),5º envío SORIA MELGUIZO,998566,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Panoptico rápido nº 2,Panoptico rápido nº 2 (1.000 ml.),5º envío SORIA MELGUIZO,994878,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Panoptico rápido nº 3,Panoptico rápido nº 3 (1.000 ml.),5º envío SORIA MELGUIZO,990091,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Giemsa,Giemsa (1.000 ml.),5º envío SORIA MELGUIZO,990939,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",May Grunwald,May Grunwald (1.000 ml.),5º envío SORIA MELGUIZO,999718,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Wright,Wright (500 ml.),5º envío SORIA MELGUIZO,997939,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Hayem,Hayem (500 ml.),5º envío SORIA MELGUIZO,991528,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Turk,Turk (500 ml.),5º envío SORIA MELGUIZO,996972,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA","Anticoagulante citrato sódico 3,8%","Anticoagulante citrato sódico 3,8% (500 ml.)",5º envío SORIA MELGUIZO,995959,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",BK azul metileno kühne (ziehl-neelsen),BK azul metileno kühne (ziehl-neelsen) (1.000 ml.),5º envío SORIA MELGUIZO,998977,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Azul metileno alcalino loeffler,Azul metileno alcalino loeffler (500 ml.),5º envío SORIA MELGUIZO,990962,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",BK fucsina fenicada (ziehl-neelsen),BK fucsina fenicada (ziehl-neelsen) (1.000 ml.),5º envío SORIA MELGUIZO,993023,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA","Gram tradicional, soluc. de yodo (lugol)","Gram tradicional, soluc. de yodo (lugol) (1.000 ml.)",5º envío SORIA MELGUIZO,998842,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA","Gram tradicional / PVP, violeta gen.fen.","Gram tradicional / PVP, violeta gen.fen. (1.000 ml.)",5º envío SORIA MELGUIZO,997941,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Eosina al 1%,Eosina al 1% (1.000 ml.),5º envío SORIA MELGUIZO,993006,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Hematoxilina de Harris,Hematoxilina de Harris (1.000 ml.),5º envío SORIA MELGUIZO,995960,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Papanicolaou (OG-6),Papanicolaou (OG-6) (1.000 ml.),5º envío SORIA MELGUIZO,997010,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Papanicolaou (EA-50),Papanicolaou (EA-50) (1.000 ml.),5º envío SORIA MELGUIZO,997012,3 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Papanicolaou (EA-36),Papanicolaou (EA-36) (1.000 ml.),5º envío SORIA MELGUIZO,996989,3 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",BK fucsina fenicada tens. (ziehl-neelsen),BK fucsina fenicada tens. (ziehl-neelsen) (1.000 ml.),5º envío SORIA MELGUIZO,999399,3 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Xileno P.A.,Xileno P.A. (5.000 ml.),5º envío SORIA MELGUIZO,998812,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Formol 30 - 35% estabilizado PH 7,Formol 30 - 35% estabilizado PH 8 (1.000 ml.),5º envío SORIA MELGUIZO,991310,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA","Formol 3,7 - 4,0 % estabilizado PH 7","Formol 3,7 - 4,0 % estabilizado PH 8 (1.000 ml.)",5º envío SORIA MELGUIZO,991005,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Metanol absoluto P.A.,Metanol absoluto P.A. (5.000 ml.),5º envío SORIA MELGUIZO,990510,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Citoscann,Citoscann (5.000 ml.),5º envío SORIA MELGUIZO,999701,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Acetona,Acetona (1.000 ml.),5º envío SORIA MELGUIZO,990292,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Eosina alcoholica al 1%,Eosina alcoholica al 1% (1.000 ml.),5º envío SORIA MELGUIZO,991415,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Gram PVP kit,Gram PVP kit (4 x 250 ml.),5º envío SORIA MELGUIZO,998800,5 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Gram,Gram (1.000 ml.),5º envío SORIA MELGUIZO,990489,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA","Gram PVP / 3 pasos, yodo","Gram PVP / 3 pasos, yodo (1.000 ml.)",5º envío SORIA MELGUIZO,995881,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA","Gram tradicional / PVP, safranina","Gram tradicional / PVP, safranina (1.000 ml.)",5º envío SORIA MELGUIZO,998715,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA","Gram tradicional / PVP, violeta cristal","Gram tradicional / PVP, violeta cristal (1.000 ml.)",5º envío SORIA MELGUIZO,994500,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Ek Ziehl - Neelsen kit,Ek Ziehl - Neelsen kit (3 x 250 ml.),5º envío SORIA MELGUIZO,990879,20 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",BK decolorante (ziehl - neelsen / kinyoun),BK decolorante (ziehl - neelsen / kinyoun) (1.000 ml.),5º envío SORIA MELGUIZO,997115,10 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Aceite de inmersión,Aceite de inmersión (100 ml.),5º envío SORIA MELGUIZO,998102,100 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Glicerina PA,Glicerina PA (1.000 ml.),5º envío SORIA MELGUIZO,995967,3 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",BK auramina (morse),BK auramina (morse) (1.000 ml.),5º envío SORIA MELGUIZO,993855,3 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",BK decolorante (morse / truant),BK decolorante (morse / truant) (1.000 ml.),5º envío SORIA MELGUIZO,996860,3 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",BK permanganato potásico (morse/truant),BK permanganato potásico (morse/truant) (1.000 ml.),5º envío SORIA MELGUIZO,994370,3 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Agua desionizda,Agua desionizada (10.000 ml.),5º envío SORIA MELGUIZO,997225,2 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Hematoxilina de Harris (formulac. antigua),Hematoxilina de Harris (formulac. antigua) (1.000 ml.),5º envío SORIA MELGUIZO,990069,3 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Papanicolaou OG (formulación antigua),Papanicolaou OG (formulación antigua) (1.000 ml.),5º envío SORIA MELGUIZO,990090,3 
E,LABORATORIOS,"LAB.MICRO., BACTE. Y SEROLOGÍA",Eosina alcoholica al 2%,Eosina alcoholica al 2% (1.000 ml.),5º envío SORIA MELGUIZO,990121,3 
E,LABORATORIOS,LAB.BIOQUÍMICA,Lama con frente curvo,"Cartel interno, 300x100 mm., ""BIOQUÍMICA"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gafas protectoras,"Gafa flexible  Ivymen 3000, plástico transparente, panorámica",GRUPO SELECTA,5028196,25
E,LABORATORIOS,LAB.BIOQUÍMICA,Guantes anticalor,"Guantes anticalor Kevlar 400, punto de rizo sin costuras con fibra a 2 caras. Largo 25 cm., talla única",GRUPO SELECTA,5000041,25
E,LABORATORIOS,LAB.BIOQUÍMICA,Guantes antiácido,"Guantes antiácido Solvex-plus, con capa de nitrilo de gran resistencia. Largo 32 cm., talla única",GRUPO SELECTA,5000044,25
E,LABORATORIOS,LAB.BIOQUÍMICA,Mascarilla de protección,"Mascarilla de protección P3-SL, autofiltrante de gama alta, de celulosa y con válvula de filtración",GRUPO SELECTA,5000046,100
E,LABORATORIOS,LAB.BIOQUÍMICA,Delantal antiácido,"Delantal antiácido Delneo 125, de neopreno de gran resistencia",GRUPO SELECTA,5000045,5
E,LABORATORIOS,LAB.BIOQUÍMICA,Glucómetro,,pte. PEDIR Y PAGAR 5º envío ONE TOUCH,,10
E,LABORATORIOS,LAB.BIOQUÍMICA,Tiras reactivas para glucómetro (cajas),,pte. PEDIR Y PAGAR 5º envío ONE TOUCH,,10
E,LABORATORIOS,LAB.BIOQUÍMICA,Lámpara halógena 6 V. 10 W.,Lámpara halógena 6 V. 10 W. 4120010,repuestos GRUPO SELECTA,4312015,1
E,LABORATORIOS,LAB.BIOQUÍMICA,Espectrofotómetro,"Analizador semiautomático clínico ""Photometer S-2000""",GRUPO SELECTA,4120010,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Analizador automático,"Analizador automático Random Acces ""A 15""",SUMALSA.,93105,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Papel impresora,Papel impresora (1 rollo) - Analizador de gases y electrolitos COBAS B123,5º envío SUMALSA,05082595001,10 
E,LABORATORIOS,LAB.BIOQUÍMICA,Consumible Clot Catcher Pro,Consumible Clot Catcher Pro (100 uds.) - Analizador de gases y electrolitos COBAS B123,5º envío SUMALSA,05689856001,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Calibrador & control autoqc pack, tri-level","Calibrador & control autoqc pack, tri-level (3x8x1,0 ml.) - Analizador de gases y electrolitos COBAS B123",5º envío SUMALSA,05169933001,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Electrodos Sensor cart. BG,Electrodos Sensor cart. BG (kit) - Analizador de gases y electrolitos COBAS B123,5º envío SUMALSA,05170397001,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Electrodos Sensor cart. BG /ISE,Electrodos Sensor cart. BG /ISE (kit) - Analizador de gases y electrolitos COBAS B123,5º envío SUMALSA,05170460001,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Electrodos Sensor cart. BG/ISE/GLU/LAC,Electrodos Sensor cart. BG/ISE/GLU/LAC (kit) - Analizador de gases y electrolitos COBAS B123,5º envío SUMALSA,05170478001,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Electrodos Sensor cart. BG/ISE/GLU,Electrodos Sensor cart. BG/ISE/GLU (kit) - Analizador de gases y electrolitos COBAS B123,5º envío SUMALSA,05331781001,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Reactivos Fluid Pack 200,Reactivos Fluid Pack 200 (kit 200) - Analizador de gases y electrolitos COBAS B123,5º envío SUMALSA,05403308001,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Analizador de gases y electrolitos,"Analizador de gases y electrolitos ""B123""",SUMALSA.,COBAS B 123,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Refractómetro,"Refractómetro clínico 2 escalas ""C-6""",GRUPO SELECTA,5901006,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Electrodo Epoxi,Electrodo Epoxi 0-14,GRUPO SELECTA,4120125,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,PH-metro,"PH-metro digital ""PH-2005"", con amplia pantalla retroiluminada. Incluye brazo portasondas",GRUPO SELECTA,4120500,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Fuente de alimentación para Cubeta de electroforesis,Fuente de alimentación Power Pac,SUMALSA,1645050,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Cubeta de electrofóresis completa,Cubeta de electrofóresis Mini Protean Tetra Cell,SUMALSA,1658003,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Circuit Senso Tecom.Centri.BL,"Circuit Senso Tecom.Centri.BL 7001386, 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9729230,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Cierre Electromagn.Centrífuga,"Cierre Electromagn.Centrífuga 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9710040,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Enganche cierre Elect.Centr.BL,"Enganche cierre Elect.Centr.BL 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9710041,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Goma Vaina de 15 ml O 16 mm.,Goma Vaina de 15 ml O 16 mm.7002356,repuestos GRUPO SELECTA,9721005,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Filtro de red,"Filtro de red 7001386, 7002356, 7002357, 7002555",repuestos GRUPO SELECTA,9745011,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Centrífuga de tubos,Centrífuga Centro-8-BL,GRUPO SELECTA,7002356,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Pipetas automáticas 1-10 MICROLITROS,"Pipetas dispensadoras de volumen variable ""Dispen-Var"", lectura digital, 1-10 microlitros",GRUPO SELECTA,5900010,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Puntas transparentes 01-10uL (J),1000 puntas transparentes 01-10uL (J) para pipetas,GRUPO SELECTA,5490040,2
E,LABORATORIOS,LAB.BIOQUÍMICA,Pipetas automáticas 10-100 MICROLITROS,"Pipetas dispensadoras de volumen variable ""Dispen-Var"", lectura digital, 10-100 microlitros",GRUPO SELECTA,5900100,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Puntas transparentes 5-200uL,1000 puntas transparentes 5-200uL para pipetas,GRUPO SELECTA,5490042,1
E,LABORATORIOS,LAB.BIOQUÍMICA,Pipetas automáticas 100-1000 MICROLITROS,"Pipetas dispensadoras de volumen variable ""Dispen-Var"", lectura digital, 100-1000 microlitros",GRUPO SELECTA,5901000,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Puntas azules 101-1000uL (C),Puntas azules 101-1000uL (C) para pipetas,GRUPO SELECTA,5490044,2
E,LABORATORIOS,LAB.BIOQUÍMICA,Pipetas automáticas 2-20 MICROLITROS,"Pipetas dispensadoras de volumen variable ""Dispen-Var"", lectura digital, 2-20 microlitros",GRUPO SELECTA,5900020,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Puntas transparentes 2-20uL (C),1000 puntas transparentes 2-20uL (C) para pipetas,GRUPO SELECTA,5490041,2
E,LABORATORIOS,LAB.BIOQUÍMICA,Pipetas automáticas 20-200 MICROLITROS,"Pipetas dispensadoras de volumen variable ""Dispen-Var"", lectura digital, 20-200 microlitros",GRUPO SELECTA,5900200,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Contenedor para pipetas,"Contenedor esterilizador para pipetas, 72x400 mm",GRUPO SELECTA,1000829,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Transductor sandwich completo,"Transductor sandwich completo 3000840, 3000910",repuestos GRUPO SELECTA,9345004,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Base+Filtro baño Ultrasons,"Base+Filtro baño Ultrasons 3000840, 3000910",repuestos GRUPO SELECTA,9345013,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Reloj temporizador de 15',"Reloj temporizador de 15' 3000840, 3000910",repuestos GRUPO SELECTA,9337010,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Baño por ultrasonidos-P 10L,"Baño limpiador de pipetas ""Ultrasons-P"", reloj desconectador con posibilidad de temporizador",GRUPO SELECTA,3000910,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Soporte portapipetas dosificadoras,"Soporte para 6 pipetas dosificadoras , diferentes tamaños, acero inox.",GRUPO SELECTA,1001215,3 
E,LABORATORIOS,LAB.BIOQUÍMICA,Tijera laboratorio,Tijera de laboratorio larga,GRUPO SELECTA,1001469,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Tijera Universal,"Tijera Universal ""Multiuso""",GRUPO SELECTA,1001468,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Navecilla con mango, 120 ml.","Navecilla con mango, acero inox., 120 ml., 180 mm.",GRUPO SELECTA,1000859,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Navecilla con mango, 450 ml.","Navecilla con mango, acero inox., 450 ml., 260 mm.",GRUPO SELECTA,1000860,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Navecilla con mango, 1500 ml.","Navecilla con mango, acero inox., 1500 ml., 310 mm.",GRUPO SELECTA,1000861,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Navecilla con mango, 2000 ml.","Navecilla con mango, acero inox., 2000 ml., 330 mm.",GRUPO SELECTA,1001354,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Embudo con asa, 100 mm.","Embudo con asa, acero inox., 100 mm.",GRUPO SELECTA,1000906,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Embudo con asa, 120 mm.","Embudo con asa, acero inox., 120 mm.",GRUPO SELECTA,1000907,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Embudo con asa, 150 mm.","Embudo con asa, acero inox., 150 mm.",GRUPO SELECTA,1000908,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Embudo con asa, 200 mm.","Embudo con asa, acero inox., 200 mm.",GRUPO SELECTA,1000909,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Dispensador de parafilm,"Dispensador de parafilm, en plástico ABS en color azul para rollos de 50 y 100 mm., con cutter de corte integrado",GRUPO SELECTA,1012200,12 
E,LABORATORIOS,LAB.BIOQUÍMICA,Película autosellante parafilm pequeño,"Película autosellante parafilm, polyoletines y cera traslúcida, 50 mm.x75 m.",GRUPO SELECTA,1012201,12 
E,LABORATORIOS,LAB.BIOQUÍMICA,Película autosellante parafilm mediano,"Película autosellante parafilm, polyoletines y cera traslúcida, 100 mm.x38 m.",GRUPO SELECTA,1012202,12 
E,LABORATORIOS,LAB.BIOQUÍMICA,Película autosellante parafilm grande,"Película autosellante parafilm, polyoletines y cera traslúcida, 100 mm.x75 m.",GRUPO SELECTA,1012203,12 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Bandeja para pipetas, termómetros y densímetros","Bandeja para pipetas, termómetros y densímetros, en PVC, 16 plazas",GRUPO SELECTA,-1001372,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Bobinas de papel para esterilizar pequeñas,"Bobinas de papel para esterilizar Polisteril, en polipropileno y poliéster, con base de papel, 7,5 cm.",GRUPO SELECTA,4100075,20 
E,LABORATORIOS,LAB.BIOQUÍMICA,Bobinas de papel para esterilizar medianas,"Bobinas de papel para esterilizar Polisteril, en polipropileno y poliéster, con base de papel, 10 cm.",GRUPO SELECTA,4100100,20 
E,LABORATORIOS,LAB.BIOQUÍMICA,Bobinas de papel para esterilizar grandes,"Bobinas de papel para esterilizar Polisteril, en polipropileno y poliéster, con base de papel,20 cm.",GRUPO SELECTA,4100200,20 
E,LABORATORIOS,LAB.BIOQUÍMICA,Soporte cortante de papel estéril,"Soporte cortante de papel estéril Policort,  metálico, con cuchilla circular, 13x51x32",GRUPO SELECTA,4100045,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Cubeta de esterilización con tapa,"Cubeta de esterilización con tapa, acero inox., 50 mm.",GRUPO SELECTA,8085505,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Cubeta redonda (palangana), 400 ml.","Cubeta-palangana 12 cm., acero inox., 400 ml.",GRUPO SELECTA,8081810,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Cubeta redonda (palangana), 1650 ml.","Cubeta-palangana 20 cm., acero inox., 1650 ml.",GRUPO SELECTA,8081814,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Cubeta redonda (palangana), 3400 ml.","Cubeta-palangana 24 cm., acero inox., 3400 ml.",GRUPO SELECTA,8081815,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Cubeta redonda (palangana), 14170 ml.","Cubeta-palangana 36 cm., acero inox., 14170 ml.",GRUPO SELECTA,8081818,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Cuchillo multiuso,"Cuchillo multiuso, acero inox. y empuñadura de baquelita negra",GRUPO SELECTA,1000862,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Cubo con asa 12 litros,"Cubos con asa embutido, divisiones interiores graduadas, 12 litros",GRUPO SELECTA,8000252,6 
E,LABORATORIOS,LAB.BIOQUÍMICA,Cubo con asa 15 litros,"Cubos con asa embutido, sin divisiones interiores, 15 litros",GRUPO SELECTA,1001600,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Jarra , 250 ml.","Vaso forma alta, con asa y pico, acero inox., 250 ml.",GRUPO SELECTA,8092902,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Jarra , 1000 ml.","Vaso forma alta, con asa y pico, acero inox., 1000 ml.",GRUPO SELECTA,8929010,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,"Jarra , 5000 ml.","Vaso forma alta, con asa y pico, acero inox., 5000 ml.",GRUPO SELECTA,8929050,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para 24 tubos hasta 12 mm.,"Gradilla 24 tubos, chapa acero inox., hasta 12 mm.",GRUPO SELECTA,1002532,10 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para 14 tubos hasta 16 mm.,"Gradilla 14 tubos, chapa acero inox., hasta 16 mm.",GRUPO SELECTA,1002531,10 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para 50 tubos hasta 13 mm.,"Gradilla 50 tubos, alambre acero inox., hasta 13 mm.",GRUPO SELECTA,1000603,10 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para 50 tubos largos hasta 13 mm.,"Gradilla 50 tubos largos, alambre acero inox.,  hasta 13 mm.",GRUPO SELECTA,1000605,10 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para 50 tubos hasta 18 mm.,"Gradilla 50 tubos, alambre acero inox., hasta 18 mm.",GRUPO SELECTA,1000607,10 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para 50 tubos largos hasta 18 mm.,"Gradilla 50 tubos largos, alambre acero inox., hasta 18 mm.",GRUPO SELECTA,1000609,10 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para 50 tubos extra largos hasta 18 mm.,"Gradilla 50 tubos extra largos, alambre acero inox., hasta 18 mm.",GRUPO SELECTA,1000611,10 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para 100 tubos hasta 13 mm.,"Gradilla 100 tubos hasta 13 mm., alambre acero inox., 12 mm.alto 60",GRUPO SELECTA,1000606,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para 100 tubos hasta 18 mm.,"Gradilla 100 tubos hasta 18 mm., alambre acero inox., 18 mm. alto 60",GRUPO SELECTA,1000610,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Gradilla para tubos Nessler,"Gradilla para tubos Nessler (falcon y tapón), chapa acero inox.",GRUPO SELECTA,1001716,4 
E,LABORATORIOS,LAB.BIOQUÍMICA,Cestillo portapipetas,"Cestillo portapipetas, acero inox.",GRUPO SELECTA,1000251,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Matraz Erlenmeyers,"Matraz Erlenmeyers en policarbonato, 250 ml., con tapón",GRUPO SELECTA,5310101,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Soporte portapipetas,"Soporte ""Cirpip"" portapipetas y termómetros, 93 unidades diferentes tamaños, en PVC",GRUPO SELECTA,1001254,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Escurridor,"Escurridor de sobremesa y colgante, en alambre plastificado en PVC",GRUPO SELECTA,1000481,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Aspirador de pipetas,"Aspirador de pipetas ""Com-pip"", en polipropileno, rojo",GRUPO SELECTA,1001133,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Tambor esterilización 35x27,Tambor esterilización en acero inox. o/35x27,GRUPO SELECTA,1002419,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Descalcificador C-3,"Descalcificador C-3, acero inox., 62x19 cm.",GRUPO SELECTA,703052,1 
E,LABORATORIOS,LAB.BIOQUÍMICA,Depósito para agua destilada,"Depósito de polietileno de alta densidad, para agua destilada, 50  litros",GRUPO SELECTA,106006,10 
E,LABORATORIOS,LAB.BIOQUÍMICA,Motor bomba ttos. inmersión,"Motor bomba ttos. Inmersión 3473100, 4002628",repuestos GRUPO SELECTA,9324017,2 
E,LABORATORIOS,LAB.BIOQUÍMICA,Resis.tto.inmers. 100ºC 1000W,Resis.tto.inmers. 100ºC 1000W 3473100,repuestos GRUPO SELECTA,9339190,2 
